x,y,z,,normalized x,normalized y,normalized z,,mean x,mean y,mean z
430994.3073508,6475407.6846059,0,,-4180.27197685,-3269.3833140498,-2940.3259277,,435174.57932765,6478677.06791995,2940.3259277
430994.3073508,6481946.451234,0,,-4180.27197685,3269.3833140498,-2940.3259277,,435174.57932765,6478677.06791995,2940.3259277
439354.8513045,6475407.6846059,0,,4180.27197685,-3269.3833140498,-2940.3259277,,435174.57932765,6478677.06791995,2940.3259277
439354.8513045,6481946.451234,0,,4180.27197685,3269.3833140498,-2940.3259277,,435174.57932765,6478677.06791995,2940.3259277
